DBN,SCHOOL NAME,Num of AP Test Takers,Num of AP Total Exams Taken,Num of AP Exams Passed
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,,,
01M458,FORSYTH SATELLITE ACADEMY,,,
01M650,CASCADES HIGH SCHOOL,,,
01M696,BARD HIGH SCHOOL EARLY COLLEGE,,,
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,,,
02M294,ESSEX STREET ACADEMY,,,
02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,,,
02M298,PACE HIGH SCHOOL,,,
02M313,"JAMES BALDWIN SCHOOL, THE: A SCHOOL FOR EXPEDITIONARY LEARNING",,,
02M374,GRAMERCY ARTS HIGH SCHOOL,,,
02M392,MANHATTAN BUSINESS ACADEMY,,,
02M393,BUSINESS OF SPORTS SCHOOL,,,
02M394,EMMA LAZARUS HIGH SCHOOL,,,
02M399,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,,,
02M407,INSTITUTE FOR COLLABORATIVE EDUCATION,,,
02M413,SCHOOL OF THE FUTURE HIGH SCHOOL,,,
02M419,LANDMARK HIGH SCHOOL,,,
02M427,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,,,
02M437,HUDSON HIGH SCHOOL OF LEARNING TECHNOLOGIES,,,
02M438,INTERNATIONAL HIGH SCHOOL AT UNION SQUARE,,,
02M440,BAYARD RUSTIN EDUCATIONAL COMPLEX,,,
02M473,WASHINGTON IRVING YABC,,,
02M500,UNITY CENTER FOR URBAN TECHNOLOGIES,,,
02M531,REPERTORY COMPANY HIGH SCHOOL FOR THEATRE ARTS,,,
02M544,INDEPENDENCE HIGH SCHOOL,,,
02M550,LIBERTY HIGH SCHOOL ACADEMY FOR NEWCOMERS,,,
02M560,HIGH SCHOOL M560 s CITY AS SCHOOL,,,
02M565,URBAN ACADEMY LABORATORY HIGH SCHOOL,,,
02M570,SATELLITE ACADEMY HIGH SCHOOL,,,
02M586,HARVEY MILK HIGH SCHOOL,,,
02M605,HUMANITIES PREPARATORY ACADEMY,,,
02M620,NORMAN THOMAS HIGH SCHOOL,,,
03M307,"URBAN ASSEMBLY SCHOOL FOR MEDIA STUDIES, THE",,,
03M402,THE URBAN ASSEMBLY SCHOOL FOR GREEN CAREERS,,,
03M404,INNOVATION DIPLOMA PLUS,,,
03M417,FRANK MCCOURT HIGH SCHOOL,,,
03M494,HIGH SCHOOL OF ARTS AND TECHNOLOGY,,,
03M505,EDWARD A. REYNOLDS WEST SIDE HIGH SCHOOL,,,
03M541,MANHATTAN / HUNTER SCIENCE HIGH SCHOOL,,,
03M577,YOUNG ADULT BOROUGH CENTER AT LOUIS D. BRANDEIS HS,,,
