year	country	gdp	pop	lifeExp
1800	afg	603	3280000	28.21
1805	afg	603	3280000	28.16
1810	afg	604	3280000	28.11
1815	afg	604	3280000	28.06
1820	afg	604	3280000	28.01
1825	afg	615	3362666	27.95
1830	afg	625	3447415	27.9
1835	afg	636	3534300	27.85
1840	afg	647	3623375	27.8
1845	afg	658	3714695	27.75
1850	afg	669	3808317	27.7
1855	afg	681	3904298	27.65
1860	afg	692	4002698	27.6
1865	afg	704	4103578	27.54
1870	afg	716	4207000	27.49
1875	afg	729	4360890	27.44
1880	afg	741	4520408	27.39
1885	afg	754	4685762	27.34
1890	afg	767	4857164	27.29
1895	afg	780	5034836	27.24
1900	afg	793	5219008	27.19
1905	afg	807	5409916	27.14
1910	afg	820	5607807	27.08
1915	afg	837	5840220	27.03
1920	afg	857	6125137	26.98
1925	afg	885	6423953	26.93
1930	afg	913	6737347	26.88
1935	afg	943	7066030	26.83
1940	afg	973	7370814.3	26.78
1945	afg	1004	7532680.8	26.82
1950	afg	1035	7752118	26.85
1955	afg	1125	8270024	29.27
1960	afg	1206	8994793	31.94
1965	afg	1182	9935358	34.6
1970	afg	1174	11121097	37.2
1975	afg	1201	12582954	39.61
1980	afg	1158	13211412	41.96
1985	afg	1384	11630498	45.21
1990	afg	1028	12067570	49.5
1995	afg	872	16772522	49.4
2000	afg	962	19701940	50.1
2005	afg	1146	24399948	52
2010	afg	1637	27962207	53.6
2015	afg	1925	32526562	53.8
1800	alb	667	410445	35.4
1805	alb	668	416928	35.4
1810	alb	668	423514	35.4
1815	alb	669	430204	35.4
1820	alb	669	437000	35.4
1825	alb	677	446920	35.4
1830	alb	685	457065	35.4
1835	alb	693	467440	35.4
1840	alb	701	478051	35.4
1845	alb	709	488902	35.4
1850	alb	717	500000	35.4
1855	alb	725	523970	35.4
1860	alb	733	549090	35.4
1865	alb	742	575414	35.4
1870	alb	750	603000	35.4
1875	alb	808	631644	35.4
1880	alb	870	661648	35.4
1885	alb	936	693077	35.4
1890	alb	1008	726000	35.4
1895	alb	1080	762102	35.4
1900	alb	1157	800000	35.4
1905	alb	1236	836182	35.4
1910	alb	1320	874000	35.4
1915	alb	1424	907586	35.4
1920	alb	1516	932000	35.4
1925	alb	1610	956000	35.4
1930	alb	1696	982000	36.29
1935	alb	1748	1009000	40.77
1940	alb	1797	1092816.9	42
1945	alb	1842	1166901.4	47.15
1950	alb	1883	1263171	54.48
1955	alb	2222	1419969	57.45
1960	alb	2724	1636054	62.87
1965	alb	3129	1896125	66.59
1970	alb	3712	2150602	67.83
1975	alb	4178	2411229	69.77
1980	alb	4218	2681245	71.39
1985	alb	4267	2966799	72.71
1990	alb	4350	3281453	73.3
1995	alb	3941	3106727	73.7
2000	alb	5305	3121965	74.7
2005	alb	7075	3082172	76.2
2010	alb	9374	2901883	77.2
2015	alb	10620	2896679	78
1800	dza	716	2503218	28.82
1805	dza	720	2548424	28.82
1810	dza	725	2594447	28.82
1815	dza	730	2641300	28.82
1820	dza	735	2689000	28.82
1825	dza	776	2781858	28.82
1830	dza	819	2877922	28.82
1835	dza	865	2977304	28.82
1840	dza	913	3080117	28.82
1845	dza	964	3186481	28.82
1850	dza	1017	3296518	15
1855	dza	1074	3410355	28.82
1860	dza	1134	3528123	28.82
1865	dza	1197	3649958	28.82
1870	dza	1264	3776000	22
1875	dza	1334	3944540	28.82
1880	dza	1409	4120603	28.82
1885	dza	1487	4304524	28.82
1890	dza	1570	4496655	28.82
1895	dza	1657	4697361	28.82
1900	dza	1750	4907026	28.86
1905	dza	1847	5126049	26.7
1910	dza	1950	5354847	30.79
1915	dza	2169	5636978	28.66
1920	dza	2358	6002716	27.5
1925	dza	2654	6392185	31.64
1930	dza	2942	6806923	31.14
1935	dza	3220	7248569	32.6
1940	dza	3486	7730796	33.72
1945	dza	3740	8291237	30.34
1950	dza	3980	8872247	42.77
1955	dza	4359	9829717	44.93
1960	dza	6470	11124892	47.5
1965	dza	5916	12626953	50.09
1970	dza	7227	14550033	52.41
1975	dza	8119	16709098	55.24
1980	dza	10166	19337723	60.92
1985	dza	11030	22565908	67.18
1990	dza	10113	25912364	70.2
1995	dza	9168	28904300	71.6
2000	dza	9885	31183658	73.3
2005	dza	12077	33267887	74.8
2010	dza	12494	36036159	76
2015	dza	13434	39666519	76.4
1990	and	28417	52773	81.7
1995	and	26143	64699	82.6
2000	and	31662	64634	83.7
2005	and	39787	77888	84.3
2010	and	38982	84864	84.7
2015	and	46577	91672	84.8
1800	ago	618	1567028	26.98
1805	ago	631	1567028	26.98
1810	ago	645	1567028	26.98
1815	ago	660	1567028	26.98
1820	ago	674	1567028	26.98
1825	ago	689	1624832	26.98
1830	ago	704	1684769	26.98
1835	ago	720	1746916	26.98
1840	ago	736	1811356	26.98
1845	ago	752	1878173	26.98
1850	ago	769	1947455	26.98
1855	ago	786	2019292	26.98
1860	ago	804	2093779	26.98
1865	ago	822	2171014	26.98
1870	ago	840	2251098	26.98
1875	ago	858	2334137	26.98
1880	ago	878	2420238	26.98
1885	ago	897	2509515	26.98
1890	ago	917	2602086	26.98
1895	ago	937	2698071	26.98
1900	ago	958	2797597	26.98
1905	ago	979	2900794	26.98
1910	ago	1001	3007798	26.98
1915	ago	1076	3118749	26.98
1920	ago	1245	3233793	26.98
1925	ago	1452	3353080	26.98
1930	ago	1693	3476768	26.98
1935	ago	1974	3605019	26.98
1940	ago	2301	3758737.3	26.98
1945	ago	2682	4061857.8	28.84
1950	ago	3125	4354882	30.7
1955	ago	3437	4808114	33.24
1960	ago	3775	5270844	35.98
1965	ago	4840	5765025	38.74
1970	ago	5397	6300969	41.5
1975	ago	5454	7107334	44.22
1980	ago	4443	8211950	46.14
1985	ago	4117	9745209	47.5
1990	ago	4232	11127870	48.6
1995	ago	2859	13042666	50.9
2000	ago	3387	15058638	52.3
2005	ago	4667	17912942	55.2
2010	ago	7047	21219954	57.6
2015	ago	7615	25021974	59.6
1800	atg	757	37000	33.54
1805	atg	757	37000	33.54
1810	atg	758	37000	33.54
1815	atg	758	37000	33.54
1820	atg	759	37000	33.54
1825	atg	785	37000	33.54
1830	atg	812	37000	33.54
1835	atg	840	37000	33.54
1840	atg	868	37000	33.54
1845	atg	898	37000	33.54
1850	atg	929	37000	33.54
1855	atg	961	37000	33.54
1860	atg	994	37000	33.54
1865	atg	1028	36187	33.54
1870	atg	1063	35195	33.54
1875	atg	1099	35000	33.54
1880	atg	1137	35000	33.54
1885	atg	1176	35787	33.54
1890	atg	1216	36795	33.54
1895	atg	1258	36187	33.54
1900	atg	1301	35195	33.54
1905	atg	1345	33768	33.54
1910	atg	1391	32288	33.54
